token,size,bit,cluster,score
br14,32,13,0,96.8619
br8,32,13,0,96.8619
br13,32,14,0,99.0694
br1,32,25,0,99.0792
br10,32,25,0,99.0792
br11,32,21,0,101.0634
br12,32,21,0,101.7116
br17,32,19,0,106.0787
br6,32,19,0,106.0787
br18,32,16,0,106.8197
br2,32,16,0,106.8197
br13,32,15,0,108.9585
br23,32,29,0,109.3023
br0,32,22,0,109.4817
br9,32,22,0,109.4817
br1,32,30,0,112.7470
br10,32,30,0,112.7470
br0,32,30,0,115.5834
br9,32,30,0,115.5834
br12,32,22,0,116.6512
br1,32,26,0,117.0095
br10,32,26,0,117.0095
br0,32,25,0,117.5535
br9,32,25,0,117.5535
br11,32,26,0,118.9861
br15,32,11,0,120.2415
br7,32,11,0,120.2415
br18,32,15,0,121.9339
br2,32,15,0,121.9339
br21,32,30,0,122.7554
br5,32,30,0,122.7554
br0,32,26,0,123.2735
br9,32,26,0,123.2735
br1,32,22,0,123.7703
br10,32,22,0,123.7703
br1,32,23,0,125.6841
br10,32,23,0,125.6841
br1,32,27,0,126.5810
br10,32,27,0,126.5810
br11,32,22,0,127.5181
br11,32,27,0,129.8719
br0,32,27,0,131.1973
br9,32,27,0,131.1973
br12,32,27,0,131.9513
br15,32,14,0,132.1788
br7,32,14,0,132.1788
br11,32,23,0,132.5645
br13,32,16,0,137.4238
br0,32,28,0,141.3585
br9,32,28,0,141.3585
br12,32,28,0,149.6966
br11,32,28,0,151.0375
br23,32,30,0,152.9574
br12,32,23,0,154.0425
br11,32,24,0,155.6743
br1,32,28,0,157.2246
br10,32,28,0,157.2246
br0,32,23,0,165.5504
br9,32,23,0,165.5504
br0,32,24,0,171.7097
br9,32,24,0,171.7097
br1,32,24,0,177.7626
br10,32,24,0,177.7626
br12,32,24,0,183.1363
br12,32,29,0,188.3873
br11,32,29,0,192.0954
br1,32,29,0,201.9393
br10,32,29,0,201.9393
br0,32,29,0,219.1643
br9,32,29,0,219.1643
br20,1,0,0,304.9353
br19,1,0,0,317.4593
br4,32,31,0,317.4593
br21,32,31,0,447.4387
br5,32,31,0,447.4387
br22,32,31,0,710.0611
br24,32,31,0,710.0611
